latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.37397,30.93434,305.72,1.13,1.06,2023-07-10,0009,A,36,6.1NRT,293.09,6.97,N
52.16144,10.40723,315.15,1.03,1.01,2023-07-10,0145,A,91,6.1NRT,288.97,14.2,N
52.15947,10.42196,309.4,1.03,1.01,2023-07-10,0145,A,77,6.1NRT,288.7,9.65,N
52.15252,10.40411,308.83,1.03,1.01,2023-07-10,0145,A,76,6.1NRT,288.09,9.32,N
51.1698,3.81496,300.91,1.7,1.28,2023-07-10,0145,A,35,6.1NRT,286.52,12.87,N
48.27467,14.33797,311.11,1.18,1.08,2023-07-10,0147,A,82,6.1NRT,291.2,14.09,N
45.46708,10.45915,305.15,1.02,1.01,2023-07-10,0147,A,63,6.1NRT,293.53,5.83,N
45.14795,9.94563,308.75,1.01,1,2023-07-10,0147,A,75,6.1NRT,295.94,8.1,N
43.44591,4.90124,314.17,1.21,1.09,2023-07-10,0147,A,89,6.1NRT,294.45,16.23,N
46.30026,31.96592,320.34,4.19,1.9,2023-07-10,0733,T,0,6.1NRT,297.17,87.93,D
46.29547,32.01132,315.24,4.17,1.89,2023-07-10,0733,T,54,6.1NRT,297.1,55.05,D
67.62391,33.25021,309.12,1.01,1,2023-07-10,0907,T,32,6.1NRT,297.98,7.57,D
54.8548,20.62673,311.47,1.19,1.08,2023-07-10,0909,T,45,6.1NRT,299.64,8.04,D
54.85085,20.63714,312.54,1.18,1.08,2023-07-10,0909,T,52,6.1NRT,297.57,11.11,D
51.26694,26.31762,311.01,1.09,1.04,2023-07-10,0911,T,34,6.1NRT,297.7,5.29,D
48.61294,21.18722,322.1,1.02,1.01,2023-07-10,0911,T,53,6.1NRT,304.97,9.38,D
48.60446,21.17858,325.48,1.02,1.01,2023-07-10,0911,T,80,6.1NRT,304.67,14.72,D
46.41835,32.34126,320.63,2.63,1.56,2023-07-10,0911,T,26,6.1NRT,301.85,32.54,D
46.41326,32.33154,323.16,2.63,1.56,2023-07-10,0911,T,28,6.1NRT,301.57,40.62,D
46.44726,30.5064,321.08,2.1,1.41,2023-07-10,0911,T,77,6.1NRT,298.46,35.94,D
46.44637,30.49899,316.69,2.1,1.41,2023-07-10,0911,T,60,6.1NRT,299.26,22.81,D
46.44051,30.52489,316.09,2.11,1.41,2023-07-10,0911,T,48,6.1NRT,297.67,22.97,D
