latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
43.44628,4.89328,321,1.77,1.3,2023-07-05,0134,A,100,6.1NRT,290.95,45.65,N
36.74924,6.25126,304.56,1.23,1.1,2023-07-05,0137,A,61,6.1NRT,294.27,7.11,N
36.74765,6.26487,305.05,1.23,1.1,2023-07-05,0137,A,63,6.1NRT,294.08,7.53,N
46.51383,21.69156,311.68,1.04,1.02,2023-07-05,0905,T,35,6.1NRT,293.01,4.09,D
44.94501,24.93752,316.9,1.06,1.03,2023-07-05,0905,T,46,6.1NRT,300.63,10.47,D
44.5024,26.21911,319.57,1.17,1.08,2023-07-05,0905,T,35,6.1NRT,301.01,9.52,D
44.25233,24.32249,317.08,1.04,1.02,2023-07-05,0905,T,56,6.1NRT,300.27,6.75,D
44.59661,20.98107,315.45,1.05,1.02,2023-07-05,0905,T,54,6.1NRT,297.61,7.94,D
42.4114,25.631,319.29,1.19,1.09,2023-07-05,0905,T,27,6.1NRT,302.85,11.54,D
41.43915,22.65087,318.06,1.01,1.01,2023-07-05,0907,T,29,6.1NRT,300.97,7.85,D
41.44418,21.93963,321.74,1,1,2023-07-05,0907,T,75,6.1NRT,298.65,10.96,D
41.36322,15.61202,343.11,1.62,1.25,2023-07-05,0907,T,91,6.1NRT,305.24,68.35,D
41.36153,15.63108,324.88,1.62,1.25,2023-07-05,0907,T,76,6.1NRT,306.04,15.64,D
41.36318,15.60592,333.94,1.62,1.25,2023-07-05,0907,T,84,6.1NRT,305.09,37.32,D
41.36139,15.62496,330.09,1.62,1.25,2023-07-05,0907,T,81,6.1NRT,305.51,27.03,D
40.76658,19.61687,322.21,1.06,1.03,2023-07-05,0907,T,74,6.1NRT,302.79,8.93,D
39.82129,18.34597,323.72,1.14,1.06,2023-07-05,0907,T,72,6.1NRT,303.95,8.96,D
55.08237,25.83293,320.91,1.02,1.01,2023-07-05,0902,T,44,6.1NRT,305.97,13.63,D
53.81296,27.69687,313.31,1.01,1.01,2023-07-05,0902,T,56,6.1NRT,301.29,6.66,D
52.90761,28.92982,314.05,1.08,1.04,2023-07-05,0902,T,52,6.1NRT,300.92,10.41,D
51.89344,29.33953,313.38,1.14,1.06,2023-07-05,0905,T,30,6.1NRT,296.62,9.31,D
48.50796,34.79885,317.62,2.39,1.49,2023-07-05,0905,T,0,6.1NRT,302.86,29.89,D
48.15923,33.48696,319.35,2.1,1.41,2023-07-05,0905,T,38,6.1NRT,301.43,19.6,D
49.82759,18.16347,315.85,1.53,1.22,2023-07-05,0905,T,52,6.1NRT,299.45,11.68,D
47.22977,33.59282,323.37,2.27,1.46,2023-07-05,0905,T,61,6.1NRT,306.45,27.62,D
47.22309,33.62085,328.11,2.28,1.46,2023-07-05,0905,T,75,6.1NRT,304.16,44.47,D
47.21637,33.64901,337.35,2.29,1.46,2023-07-05,0905,T,86,6.1NRT,304.22,89.63,D
47.18608,33.60191,331.19,2.28,1.46,2023-07-05,0905,T,81,6.1NRT,305.62,56.19,D
47.18769,33.59764,332.48,2.28,1.46,2023-07-05,0905,T,82,6.1NRT,305.24,65.04,D
47.2725,32.88775,332.17,2.08,1.4,2023-07-05,0905,T,82,6.1NRT,305.81,49.48,D
47.28311,32.8863,323.99,2.08,1.4,2023-07-05,0905,T,31,6.1NRT,306.33,19.34,D
47.27729,32.91199,328.29,2.09,1.41,2023-07-05,0905,T,68,6.1NRT,305.4,34.64,D
46.61016,30.94579,328.57,1.73,1.29,2023-07-05,0905,T,75,6.1NRT,304.21,31.43,D
51.17121,3.81117,319.76,1.1,1.05,2023-07-05,1043,T,56,6.1NRT,289.39,17.64,D
51.16856,3.82634,308.47,1.1,1.05,2023-07-05,1043,T,53,6.1NRT,289.59,7.27,D
47.39711,1.90458,310.73,1.1,1.04,2023-07-05,1045,T,68,6.1NRT,292.77,9.68,D
43.17971,2.90323,326.07,1.41,1.18,2023-07-05,1045,T,82,6.1NRT,299.46,25.01,D
43.17646,2.92007,322.11,1.42,1.18,2023-07-05,1045,T,79,6.1NRT,298.49,18.29,D
43.16956,2.89945,340.26,1.41,1.18,2023-07-05,1045,T,91,6.1NRT,299.41,57.24,D
43.16628,2.91634,332.52,1.42,1.18,2023-07-05,1045,T,87,6.1NRT,299.59,38.28,D
37.86618,34.46169,334.53,1.05,1.02,2023-07-05,1100,A,71,6.1NRT,317.51,9.01,D
37.9806,34.71394,331.25,1.03,1.01,2023-07-05,1100,A,49,6.1NRT,315.87,11.46,D
37.96314,34.14423,333.93,1.06,1.03,2023-07-05,1100,A,70,6.1NRT,317.24,11.81,D
38.25097,34.02403,339.75,1.07,1.03,2023-07-05,1100,A,53,6.1NRT,320.74,21.56,D
38.60361,26.92347,326.16,2.43,1.5,2023-07-05,1100,A,75,6.1NRT,302.74,30.3,D
38.5986,26.92086,326.43,2.43,1.5,2023-07-05,1100,A,76,6.1NRT,302.57,34.64,D
39.90923,33.43181,331.35,1.07,1.03,2023-07-05,1100,A,69,6.1NRT,316.65,9.07,D
39.93835,33.43636,336.61,1.07,1.03,2023-07-05,1100,A,81,6.1NRT,318.58,17.66,D
39.93588,32.70793,330.95,1.12,1.06,2023-07-05,1100,A,57,6.1NRT,314.78,12.29,D
39.99081,32.7458,331.4,1.12,1.05,2023-07-05,1100,A,44,6.1NRT,313.87,10.87,D
39.98864,32.73297,333.14,1.12,1.05,2023-07-05,1100,A,65,6.1NRT,313.07,13.62,D
40.07985,33.00444,327.29,1.09,1.04,2023-07-05,1100,A,39,6.1NRT,313.18,9.35,D
40.08268,32.96421,325.06,1.1,1.04,2023-07-05,1100,A,50,6.1NRT,311.9,7.87,D
40.10856,33.06163,325.94,1.09,1.04,2023-07-05,1100,A,60,6.1NRT,311.76,8.56,D
40.10648,33.04916,325.43,1.09,1.04,2023-07-05,1100,A,49,6.1NRT,311.85,7.45,D
40.83339,33.22608,321.97,1.06,1.03,2023-07-05,1102,A,70,6.1NRT,308.79,9.12,D
40.83141,33.21383,328.77,1.06,1.03,2023-07-05,1102,A,79,6.1NRT,309.94,17.73,D
41.56404,32.42131,317.71,1.1,1.04,2023-07-05,1102,A,28,6.1NRT,305.12,9.06,D
45.37101,30.92685,314,1.1,1.04,2023-07-05,1102,A,60,6.1NRT,295.47,8.13,D
46.68171,32.66441,329.78,1,1,2023-07-05,1102,A,75,6.1NRT,305.08,17.09,D
46.73242,32.74874,349.9,1,1,2023-07-05,1102,A,94,6.1NRT,307.44,49.45,D
46.74121,32.74594,344.03,1,1,2023-07-05,1102,A,90,6.1NRT,310.12,37.34,D
46.73931,32.73314,331.35,1,1,2023-07-05,1102,A,60,6.1NRT,307.81,16.75,D
46.61558,30.9423,338.05,1.06,1.03,2023-07-05,1102,A,85,6.1NRT,313.54,26.15,D
46.84957,32.29478,332.57,1.01,1,2023-07-05,1102,A,44,6.1NRT,311.95,15.11,D
46.8476,32.28189,337.16,1.01,1,2023-07-05,1102,A,75,6.1NRT,313.77,21.58,D
47.18583,33.58545,359.21,1.01,1,2023-07-05,1102,A,99,6.1NRT,313.69,67.4,D
47.18401,33.57246,333.47,1.01,1,2023-07-05,1102,A,61,6.1NRT,307.64,17.66,D
47.20376,33.64783,347.97,1.01,1,2023-07-05,1102,A,92,6.1NRT,310.39,38.79,D
47.19466,33.58276,346.45,1.01,1,2023-07-05,1102,A,91,6.1NRT,309.74,39.11,D
47.23395,33.65899,333.61,1.01,1,2023-07-05,1102,A,66,6.1NRT,307.5,16.77,D
47.40148,33.73919,337.12,1.01,1,2023-07-05,1102,A,83,6.1NRT,308.01,24.61,D
47.36618,32.58364,327.62,1,1,2023-07-05,1102,A,71,6.1NRT,310.64,9.11,D
47.62798,34.32308,332.04,1.03,1.01,2023-07-05,1102,A,73,6.1NRT,303.48,22.22,D
51.9656,26.15817,308.75,1.23,1.1,2023-07-05,1104,A,12,6.1NRT,295.17,6.02,D
52.45951,28.52238,314.89,1.05,1.02,2023-07-05,1104,A,33,6.1NRT,300.85,8.61,D
52.19999,26.56261,308.13,1.18,1.08,2023-07-05,1104,A,29,6.1NRT,294.93,4.92,D
51.10714,18.20822,309.83,2.9,1.62,2023-07-05,1104,A,53,6.1NRT,291.43,31.05,D
53.67405,27.90713,308.52,1.04,1.02,2023-07-05,1104,A,39,6.1NRT,295.07,3.64,D
53.74304,28.15284,311.44,1.03,1.02,2023-07-05,1104,A,35,6.1NRT,297.34,5.54,D
55.08182,25.82678,322.54,1.11,1.05,2023-07-05,1104,A,65,6.1NRT,308.72,16.89,D
36.94458,14.42839,330.65,1.14,1.06,2023-07-05,1238,A,83,6.1NRT,311.01,13.24,D
36.55547,10.08112,332.57,1.05,1.02,2023-07-05,1238,A,67,6.1NRT,316.71,6.8,D
37.16498,13.83643,375.55,1.09,1.04,2023-07-05,1238,A,100,6.1NRT,312.95,135.73,D
37.16347,13.82445,340.38,1.09,1.04,2023-07-05,1238,A,79,6.1NRT,312.23,31.31,D
37.20968,13.96458,331.75,1.1,1.05,2023-07-05,1238,A,71,6.1NRT,314.11,12.13,D
37.20816,13.95248,340.14,1.1,1.05,2023-07-05,1238,A,84,6.1NRT,315.4,26.58,D
37.6012,12.87536,328.06,1.04,1.02,2023-07-05,1238,A,73,6.1NRT,310.36,7.74,D
43.16936,2.9208,360.14,1.68,1.27,2023-07-05,1240,A,100,6.1NRT,299.99,165.39,D
43.16529,2.90118,327.87,1.68,1.28,2023-07-05,1240,A,83,6.1NRT,299.87,34.98,D
43.18033,2.91633,317.27,1.68,1.27,2023-07-05,1240,A,72,6.1NRT,298.22,13.07,D
43.17631,2.8969,317.28,1.68,1.28,2023-07-05,1240,A,64,6.1NRT,298.12,12.13,D
45.14136,9.9402,322.43,1.01,1.01,2023-07-05,1242,A,49,6.1NRT,305.84,8.49,D
45.29159,8.59514,313.76,1,1,2023-07-05,1242,A,43,6.1NRT,298.6,6.22,D
45.39679,9.25483,323.74,1,1,2023-07-05,1242,A,47,6.1NRT,305.97,12.35,D
46.49516,11.2863,316.27,1.1,1.05,2023-07-05,1242,A,55,6.1NRT,298.86,8,D
45.85047,5.28153,325.06,1.16,1.07,2023-07-05,1242,A,71,6.1NRT,300.39,20.81,D
45.8479,5.26709,328.77,1.16,1.07,2023-07-05,1242,A,85,6.1NRT,301.83,26.06,D
47.62341,6.12353,318.18,1.05,1.02,2023-07-05,1242,A,43,6.1NRT,306.7,9.69,D
48.36247,9.94478,308.81,1.06,1.03,2023-07-05,1242,A,32,6.1NRT,294.83,4.99,D
50.20145,10.0791,306.75,1.11,1.05,2023-07-05,1242,A,17,6.1NRT,294.18,4.43,D
50.97551,6.83802,309.88,1,1,2023-07-05,1242,A,67,6.1NRT,293.28,6.9,D
50.90762,5.51857,317.92,1.01,1.01,2023-07-05,1242,A,60,6.1NRT,295.52,11.95,D
