latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.15118,147.67644,310.08,1.12,1.05,2023-07-11,0018,T,52,6.1NRT,287.71,10.31,D
-12.09523,142.4911,321.43,1.17,1.08,2023-07-11,0018,T,67,6.1NRT,296.55,14.77,D
-12.11808,142.63783,323.7,1.15,1.07,2023-07-11,0018,T,79,6.1NRT,295.91,20.26,D
-12.11969,142.64822,327.88,1.15,1.07,2023-07-11,0018,T,83,6.1NRT,295.62,26.03,D
-12.11273,142.47752,325.02,1.17,1.08,2023-07-11,0018,T,75,6.1NRT,298.55,18.53,D
-12.1272,142.50769,316.37,1.17,1.08,2023-07-11,0018,T,49,6.1NRT,294.6,9.47,D
-12.13169,142.40923,312.77,1.18,1.08,2023-07-11,0018,T,65,6.1NRT,295.76,7.18,D
-12.24853,142.75903,330.97,1.13,1.06,2023-07-11,0018,T,80,6.1NRT,296.36,29.92,D
-12.20634,142.35857,312.47,1.19,1.08,2023-07-11,0018,T,43,6.1NRT,295.27,7.68,D
-12.20938,142.31421,311.21,1.19,1.09,2023-07-11,0018,T,46,6.1NRT,292.76,6.83,D
-12.27215,142.72415,318.99,1.13,1.06,2023-07-11,0018,T,56,6.1NRT,294.5,13.54,D
-12.29799,142.60779,327.44,1.15,1.07,2023-07-11,0018,T,63,6.1NRT,276.86,31.24,D
-12.27409,142.26436,309.18,1.2,1.09,2023-07-11,0018,T,45,6.1NRT,290.52,5.45,D
-12.30807,142.29213,307.73,1.19,1.09,2023-07-11,0018,T,39,6.1NRT,286.53,6.5,D
-12.40015,142.7334,321.51,1.13,1.06,2023-07-11,0018,T,53,6.1NRT,296.18,13.99,D
-12.40174,142.74364,321.04,1.13,1.06,2023-07-11,0018,T,73,6.1NRT,296.18,14.01,D
-12.40333,142.75386,322.7,1.13,1.06,2023-07-11,0018,T,62,6.1NRT,295.63,15.8,D
-12.40808,142.78442,312.61,1.12,1.06,2023-07-11,0018,T,53,6.1NRT,292.27,7.79,D
-12.33927,142.28101,309.13,1.19,1.09,2023-07-11,0018,T,59,6.1NRT,285.31,7.31,D
-12.40798,142.72168,332.74,1.13,1.06,2023-07-11,0018,T,87,6.1NRT,297.31,29.99,D
-12.40957,142.73193,328.6,1.13,1.06,2023-07-11,0018,T,62,6.1NRT,297.25,22.27,D
-12.40628,142.64828,372.44,1.14,1.06,2023-07-11,0018,T,94,6.1NRT,294.17,141.8,D
-12.40787,142.65857,337.8,1.14,1.06,2023-07-11,0018,T,48,6.1NRT,295.02,39.74,D
-12.43313,142.75967,351.74,1.13,1.06,2023-07-11,0018,T,96,6.1NRT,294.18,71.01,D
-12.4347,142.76987,330.51,1.12,1.06,2023-07-11,0018,T,85,6.1NRT,293.99,27.28,D
-12.43153,142.68646,309.26,1.13,1.06,2023-07-11,0018,T,19,6.1NRT,292.33,5.1,D
-12.44253,142.75819,322.37,1.13,1.06,2023-07-11,0018,T,79,6.1NRT,293.09,17.22,D
-12.4441,142.76839,330.33,1.12,1.06,2023-07-11,0018,T,85,6.1NRT,293.38,28.51,D
-12.44566,142.77855,317.45,1.12,1.06,2023-07-11,0018,T,58,6.1NRT,291.45,11.48,D
-12.44721,142.7887,315.57,1.12,1.06,2023-07-11,0018,T,71,6.1NRT,294.08,10.8,D
-12.44411,142.57866,334.81,1.15,1.07,2023-07-11,0018,T,0,6.1NRT,271.51,40.02,D
-12.41343,142.31331,311.23,1.19,1.08,2023-07-11,0018,T,64,6.1NRT,276.29,12.29,D
-12.60049,142.83508,338.22,1.11,1.05,2023-07-11,0018,T,90,6.1NRT,292.12,41.76,D
-12.60199,142.78288,318.72,1.12,1.05,2023-07-11,0018,T,55,6.1NRT,291.3,13.03,D
-12.60357,142.79305,320.13,1.12,1.05,2023-07-11,0018,T,75,6.1NRT,293.41,14.88,D
-12.81006,142.49608,337.88,1.15,1.07,2023-07-11,0018,T,85,6.1NRT,294.63,41.19,D
-12.81164,142.5065,372,1.15,1.07,2023-07-11,0018,T,100,6.1NRT,297.91,141.58,D
-12.81688,142.50975,324.57,1.15,1.07,2023-07-11,0018,T,37,6.1NRT,294.05,20.03,D
-12.82498,142.56148,319.92,1.14,1.06,2023-07-11,0018,T,58,6.1NRT,293.66,16.61,D
-12.8644,142.56587,310.45,1.14,1.06,2023-07-11,0018,T,56,6.1NRT,287.98,9.34,D
-12.90422,142.41519,311.75,1.16,1.07,2023-07-11,0018,T,63,6.1NRT,292.88,10.15,D
-13.58303,143.16327,312.55,1.06,1.03,2023-07-11,0018,T,65,6.1NRT,296.92,6.98,D
-13.72048,141.80295,311.75,1.22,1.1,2023-07-11,0020,T,57,6.1NRT,298.8,6.66,D
-13.80041,142.05766,312.45,1.18,1.08,2023-07-11,0020,T,62,6.1NRT,298.28,8.1,D
-13.81996,142.12007,312.52,1.17,1.08,2023-07-11,0020,T,60,6.1NRT,295.42,7.42,D
-14.07341,143.66214,314.07,1.02,1.01,2023-07-11,0020,T,63,6.1NRT,296.14,7.85,D
-13.95806,142.76968,350.59,1.09,1.04,2023-07-11,0020,T,96,6.1NRT,298.58,64.11,D
-13.95955,142.77957,377.81,1.09,1.04,2023-07-11,0020,T,100,6.1NRT,301.35,153.88,D
-13.96532,142.77206,349.53,1.09,1.04,2023-07-11,0020,T,95,6.1NRT,297.64,63.54,D
-13.96685,142.78194,358.06,1.09,1.04,2023-07-11,0020,T,99,6.1NRT,299.36,85.87,D
-13.96838,142.79182,342.68,1.09,1.04,2023-07-11,0020,T,92,6.1NRT,298.03,47.94,D
-13.96991,142.8017,330.97,1.08,1.04,2023-07-11,0020,T,85,6.1NRT,297.2,27.76,D
-13.87234,142.11594,309.51,1.17,1.07,2023-07-11,0020,T,49,6.1NRT,297.29,5.32,D
-13.90891,142.09915,318.02,1.17,1.08,2023-07-11,0020,T,50,6.1NRT,298.15,12.1,D
-13.91518,142.07634,315.03,1.17,1.08,2023-07-11,0020,T,53,6.1NRT,297.82,9.47,D
-13.91683,142.08699,319.6,1.17,1.08,2023-07-11,0020,T,74,6.1NRT,297.82,14.55,D
-13.96209,142.37994,319.83,1.13,1.06,2023-07-11,0020,T,64,6.1NRT,299.05,13.39,D
-14.0319,142.17079,316.13,1.15,1.07,2023-07-11,0020,T,69,6.1NRT,298.17,11.33,D
-14.02676,142.07402,316.79,1.17,1.08,2023-07-11,0020,T,70,6.1NRT,298.91,11.56,D
-14.0284,142.08466,316.15,1.17,1.07,2023-07-11,0020,T,69,6.1NRT,299.03,11.13,D
-14.31306,142.67802,313.86,1.09,1.04,2023-07-11,0020,T,40,6.1NRT,299.4,6.94,D
-14.34033,142.68758,314.16,1.09,1.04,2023-07-11,0020,T,64,6.1NRT,298.77,7.16,D
-15.65386,145.02448,315.02,1.02,1.01,2023-07-11,0020,T,68,6.1NRT,298.61,7.64,D
